Gender,family_history,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,Obesity,Age,Weight,Height
Female,sim,não,2.0,3.0,Quase sempre,não,2.0,não,0.0,1.0,Não,Transporte público,Peso normal,21,64,1.62
Female,sim,não,3.0,3.0,Quase sempre,sim,3.0,sim,3.0,0.0,Quase sempre,Transporte público,Peso normal,21,56,1.52
Male,sim,não,2.0,3.0,Quase sempre,não,2.0,não,2.0,1.0,Frequentemente,Transporte público,Peso normal,23,77,1.8
Male,não,não,3.0,3.0,Quase sempre,não,2.0,não,2.0,0.0,Frequentemente,Caminhar,Sobrepeso I,27,87,1.8
Male,não,não,2.0,1.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Sobrepeso II,22,89,1.78
Male,não,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Automóvel,Peso normal,29,53,1.62
Female,sim,sim,3.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Motocicleta,Peso normal,23,55,1.5
Male,não,não,2.0,3.0,Quase sempre,não,2.0,não,3.0,0.0,Quase sempre,Transporte público,Peso normal,22,53,1.64
Male,sim,sim,3.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Frequentemente,Transporte público,Peso normal,24,64,1.78
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Não,Transporte público,Peso normal,22,68,1.72
Male,sim,sim,3.0,3.0,Frequentemente,não,3.0,não,2.0,2.0,Quase sempre,Transporte público,Obesidade I,26,105,1.85
Female,sim,sim,2.0,3.0,Frequentemente,não,2.0,sim,2.0,1.0,Quase sempre,Transporte público,Sobrepeso II,21,80,1.72
Male,não,não,3.0,3.0,Quase sempre,não,3.0,não,2.0,0.0,Quase sempre,Transporte público,Peso normal,22,56,1.65
Male,não,sim,2.0,3.0,Quase sempre,não,2.0,não,2.0,1.0,Frequentemente,Automóvel,Obesidade I,41,99,1.8
Male,sim,sim,3.0,1.0,Quase sempre,não,1.0,não,1.0,1.0,Quase sempre,Transporte público,Peso normal,23,60,1.77
Female,sim,não,3.0,3.0,Sempre,não,2.0,sim,2.0,1.0,Quase sempre,Transporte público,Peso normal,22,66,1.7
Male,sim,sim,2.0,1.0,Quase sempre,não,1.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso II,27,102,1.93
